# Pathway	demo_Abundance
PWY-7953: UDP-N-acetylmuramoyl-pentapeptide biosynthesis III (meso-diaminopimelate containing)	47.0924244833
PWY-7953: UDP-N-acetylmuramoyl-pentapeptide biosynthesis III (meso-diaminopimelate containing)|unclassified	47.0924244833
HISTSYN-PWY: L-histidine biosynthesis	46.6275736867
HISTSYN-PWY: L-histidine biosynthesis|unclassified	46.6275736867
PANTO-PWY: phosphopantothenate biosynthesis I	46.3165267034
PANTO-PWY: phosphopantothenate biosynthesis I|unclassified	46.3165267034
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I	44.6609706639
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I|unclassified	44.6609706639
PWY-5667: CDP-diacylglycerol biosynthesis I	44.1708094290
PWY-5667: CDP-diacylglycerol biosynthesis I|unclassified	44.1708094290
PWY0-1319: CDP-diacylglycerol biosynthesis II	44.1708094290
PWY0-1319: CDP-diacylglycerol biosynthesis II|unclassified	44.1708094290
CALVIN-PWY: Calvin-Benson-Bassham cycle	43.6103095419
CALVIN-PWY: Calvin-Benson-Bassham cycle|unclassified	43.6103095419
PWY-7228: superpathway of guanosine nucleotides de novo biosynthesis I	43.1779233821
PWY-7228: superpathway of guanosine nucleotides de novo biosynthesis I|unclassified	43.1779233821
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II	41.9065331634
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|unclassified	41.9065331634
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis	41.9065331634
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis|unclassified	41.9065331634
HSERMETANA-PWY: L-methionine biosynthesis III	41.5509612787
HSERMETANA-PWY: L-methionine biosynthesis III|unclassified	41.5509612787
PWY-6147: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis I	40.5116631084
PWY-6147: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis I|unclassified	40.5116631084
PWY-6125: superpathway of guanosine nucleotides de novo biosynthesis II	40.3025097112
PWY-6125: superpathway of guanosine nucleotides de novo biosynthesis II|unclassified	40.3025097112
ARO-PWY: chorismate biosynthesis I	37.3615255891
ARO-PWY: chorismate biosynthesis I|unclassified	37.3615255891
THISYN-PWY: superpathway of thiamine diphosphate biosynthesis I	34.0262548602
THISYN-PWY: superpathway of thiamine diphosphate biosynthesis I|unclassified	34.0262548602
RHAMCAT-PWY: L-rhamnose degradation I	33.7433209924
RHAMCAT-PWY: L-rhamnose degradation I|unclassified	33.7433209924
SER-GLYSYN-PWY: superpathway of L-serine and glycine biosynthesis I	33.7055049009
SER-GLYSYN-PWY: superpathway of L-serine and glycine biosynthesis I|unclassified	33.7055049009
RIBOSYN2-PWY: flavin biosynthesis I (bacteria and plants)	33.6640544944
RIBOSYN2-PWY: flavin biosynthesis I (bacteria and plants)|unclassified	33.6640544944
PWY-2942: L-lysine biosynthesis III	31.7871042800
PWY-2942: L-lysine biosynthesis III|unclassified	31.7871042800
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis	31.1100964558
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis|unclassified	31.1100964558
PWY-7220: adenosine deoxyribonucleotides de novo biosynthesis II	30.1702405228
PWY-7220: adenosine deoxyribonucleotides de novo biosynthesis II|unclassified	30.1702405228
PWY-7222: guanosine deoxyribonucleotides de novo biosynthesis II	30.1702405228
PWY-7222: guanosine deoxyribonucleotides de novo biosynthesis II|unclassified	30.1702405228
